Year,HeadacheType,Country,StateProvince,AgeRangeLower,AgeRangeUpper,Ethnicity,Gender,Race,AffectedCount,AffectedMarginOfError,SoughtHelpCount,Source
2014,Severe Headache/Migraine,United States,N/A,18,18,Central or South American,Female,White only,4,-1,-1,"National Health Interview Survey, 2014, Centers for Disease Control and Prevention, https://www.cdc.gov/nchs/nhis/nhis_2014_data_release.htm"
2014,Severe Headache/Migraine,United States,N/A,18,18,Central or South American,Male,AIAN only,1,-1,-1,"National Health Interview Survey, 2014, Centers for Disease Control and Prevention, https://www.cdc.gov/nchs/nhis/nhis_2014_data_release.htm"
2014,Severe Headache/Migraine,United States,N/A,18,18,Central or South American,Male,White only,4,-1,-1,"National Health Interview Survey, 2014, Centers for Disease Control and Prevention, https://www.cdc.gov/nchs/nhis/nhis_2014_data_release.htm"
2014,Severe Headache/Migraine,United States,N/A,18,18,Cuban/Cuban American,Female,White only,1,-1,-1,"National Health Interview Survey, 2014, Centers for Disease Control and Prevention, https://www.cdc.gov/nchs/nhis/nhis_2014_data_release.htm"
2014,Severe Headache/Migraine,United States,N/A,18,18,Dominican (Republic),Female,Black/African American only,2,-1,-1,"National Health Interview Survey, 2014, Centers for Disease Control and Prevention, https://www.cdc.gov/nchs/nhis/nhis_2014_data_release.htm"
2014,Severe Headache/Migraine,United States,N/A,18,18,Dominican (Republic),Male,Multiple race,1,-1,-1,"National Health Interview Survey, 2014, Centers for Disease Control and Prevention, https://www.cdc.gov/nchs/nhis/nhis_2014_data_release.htm"
2014,Severe Headache/Migraine,United States,N/A,18,18,Dominican (Republic),Male,White only,1,-1,-1,"National Health Interview Survey, 2014, Centers for Disease Control and Prevention, https://www.cdc.gov/nchs/nhis/nhis_2014_data_release.htm"
2014,Severe Headache/Migraine,United States,N/A,18,18,Mexican,Female,White only,19,-1,-1,"National Health Interview Survey, 2014, Centers for Disease Control and Prevention, https://www.cdc.gov/nchs/nhis/nhis_2014_data_release.htm"
2014,Severe Headache/Migraine,United States,N/A,18,18,Mexican,Male,AIAN only,1,-1,-1,"National Health Interview Survey, 2014, Centers for Disease Control and Prevention, https://www.cdc.gov/nchs/nhis/nhis_2014_data_release.htm"
2014,Severe Headache/Migraine,United States,N/A,18,18,Mexican,Male,White only,12,-1,-1,"National Health Interview Survey, 2014, Centers for Disease Control and Prevention, https://www.cdc.gov/nchs/nhis/nhis_2014_data_release.htm"
2014,Severe Headache/Migraine,United States,N/A,18,18,Mexican-American,Female,Black/African American only,1,-1,-1,"National Health Interview Survey, 2014, Centers for Disease Control and Prevention, https://www.cdc.gov/nchs/nhis/nhis_2014_data_release.htm"
2014,Severe Headache/Migraine,United States,N/A,18,18,Mexican-American,Female,White only,11,-1,-1,"National Health Interview Survey, 2014, Centers for Disease Control and Prevention, https://www.cdc.gov/nchs/nhis/nhis_2014_data_release.htm"
2014,Severe Headache/Migraine,United States,N/A,18,18,Mexican-American,Male,Black/African American only,1,-1,-1,"National Health Interview Survey, 2014, Centers for Disease Control and Prevention, https://www.cdc.gov/nchs/nhis/nhis_2014_data_release.htm"
